company_name,domain,tin,source,hubspot_checked,legal_name,hubspot_object_id,status,exists_in_hubspot,Score_1,sent_clay,error_message,reason_score1,pain_point1,segment,industri_sii,hubspot_lifecycle,hubspot_match_stage,manual_hubspot_checked,adjusted_vertical,enrichment_status,batch_id,batch_date,contacts_found,contacts_with_email,contacts_with_linkedin,ready_for_outreach,outreach_started_date,last_hs_activity_date,do_not_contact,signal,id,createdAt,updatedAt
REFINERIA VIACAVA SpA,mylpan.cl,76057792-8,webhook,True,REFINERIA DE GRASAS Y ACEITES COMESTIBLES VIACAVA SPA.,27225681685.0,"""exists_in_hubspot""",True,70,True,,"Gran empresa (20 pts), 4 empresas hijas (15 pts), 47 trabajadores (0 pts), segmento (0 pts). Sin regulación explícita en giro (0 pts); manufactura de aceites y grasas no especifica organismos como SEC, Sernageomin o SISS. Estimación de 50–200 proveedores típicos en cadena agroalimentaria (15 pts). Sin señal externa reportada (0 pts).","Empresa manufacturera con 47 trabajadores y 4 filiales gestiona cadena de proveedores de insumos agroindustriales. Requiere validación continua de contrapartes, trazabilidad de materias primas y cumplimiento de estándares alimentarios sin regulador CMF explícito.",manufactura / retail,ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL (EXCEPTO ELABORACION DE MANTEQUILLA),lead,"""domain""",,mfg-retail-hold,ready,2026-W22,2026-05-25,,,,True,,2024-12-30T06:00:00.000Z,,,205,2026-05-15T20:03:32.154Z,2026-05-25T21:00:55.208Z
Valpotrans,valpotrans.cl,76063944-3,webhook,True,TRANSPORTES VALPOTRANS SPA,55282601989.0,"""does_not_exists_in_hubspot""",True,63,True,,"Gran empresa (20 pts), 2 empresas hijas (8 pts), 21 trabajadores (0 pts), segmento (0 pts). Sin regulación (0 pts). Transporte de carga estima 50-200 proveedores por operaciones de logística, combustible y mantenimiento (15 pts). Sin señal (0 pts).","Empresa de transporte de carga con estructura holding (2 filiales) maneja múltiples contrapartes: clientes, proveedores de combustible, mantenimiento, seguros. Requiere validación continua de documentación, licencias de conductores, permisos viales y cumplimiento tributario sin herramientas integradas.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,0.0,True,,,,,211,2026-05-15T20:05:38.842Z,2026-05-25T22:00:55.151Z
Vule,busesvule.cl,76071048-2,webhook,True,BUSES VULE S.A.,26464244331.0,"""exists_in_hubspot""",True,75,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 5336 trabajadores (10 pts), segmento sin clasificar (0 pts). Sin regulación sectorial específica (0 pts); transporte urbano no es giro regulado por CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL. Estimación de 50-200 proveedores típicos para operador de flota: combustibles, mantenimiento mecánico, repuestos, servicios logísticos (15 pts). Sin señal externa reportada (0 pts).","Empresa de transporte urbano masivo con 5.336 trabajadores gestiona múltiples proveedores críticos (combustible, mantención, repuestos, servicios). Alto riesgo operativo: interrupciones afectan servicios públicos. Requiere validación continua de contrapartes y cumplimiento de estándares de seguridad y disponibilidad.",utilities / infraestructura,TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS VIA LOCOMOCION COLECTIVA,lead,"""domain""",,util-infra,ready,2026-W22,2026-05-25,,,,True,,2025-10-21T06:00:00.000Z,,,222,2026-05-15T20:09:31.263Z,2026-05-25T21:00:55.281Z
RED CARGO LOGÍSTICA S.A.,rcargo.cl,76069143-7,webhook,True,RED CARGO LOGÍSTICA S.A.,,"""does_not_exists_in_hubspot""",False,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 444 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts). Transporte de carga por carretera típicamente maneja 50-200 proveedores entre combustible, mantención y servicios logísticos (15 pts). Sin señal externa reportada (0 pts).","Empresa de transporte con 444 trabajadores gestiona múltiples contrapartes (conductores, proveedores de combustible, mantenimiento, logística). Sin regulación sectorial explícita, pero requiere validación continua de documentación, licencias y permisos. Renovaciones periódicas y riesgo de incumplimientos tributarios generan complejidad operativa.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,hs_checked,2026-W21,2026-05-18,,,,True,,,,,219,2026-05-15T20:08:27.915Z,2026-05-18T15:00:22.276Z
AGRICOLA LA BALLICA LIMITADA,,76067313-7,webhook,True,AGRICOLA LA BALLICA LIMITADA,,sent_to_clay,False,60,True,,"mediana (12 pts), 3 empresas hijas (15 pts), 15 trabajadores (0 pts), segmento (0 pts). CMF (15 pts): giro explícitamente describe «fondos y sociedades de inversión y entidades financieras similares», actividad bajo supervisión CMF. Proveedores 50-200 (15 pts): holding financiero con múltiples contrapartes operativas e inversoras, volumen medio estimado. Sin señal (0 pts).","Holding de 3 empresas con estructura financiera compleja requiere validación continua de contrapartes, cumplimiento CMF y monitoreo de riesgo crediticio. Gestión manual de proveedores y entidades vinculadas genera brechas de compliance.",financiero,FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES,,,,mfg-retail-hold,clay_sent,2026-W22,2026-05-25,,,,True,,,,,217,2026-05-15T20:07:45.618Z,2026-05-25T19:32:11.528Z
El Arriero,arriero.cl,76070045-2,webhook,True,SERVICIOS LOGISTICOS EL ARRIERO SOCIEDAD ANONIMA,,"""does_not_exists_in_hubspot""",False,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 268 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts). Estimación de proveedores 50-200 por naturaleza de transporte de carga (15 pts). Sin señal externa registrada (0 pts).","Empresa de transporte con 268 trabajadores gestiona múltiples contrapartes (clientes, proveedores de combustible, mantenimiento, logística). Sin regulación formal pero con riesgo tributario y operativo. Necesita validar documentación, poderes y licencias de contratistas de forma continua.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,hs_checked,2026-W21,2026-05-18,,,,True,,,,,221,2026-05-15T20:09:10.131Z,2026-05-18T15:00:21.162Z
AUSTIN INGENIEROS CHILE LIMITADA,austineng.com,76064849-3,webhook,True,AUSTIN INGENIEROS CHILE LIMITADA,19274440268.0,sent_to_clay,True,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 214 trabajadores (5 pts), segmento (0 pts). Sernageomin (15 pts) por fabricación explícita para explotación de minas; estimación de 50-200 proveedores (15 pts) considerando manufactura industrial especializada; sin señal externa (0 pts).","Fabricante de maquinaria minera con 214 trabajadores y múltiples proveedores críticos. Requiere validación continua de contrapartes en cadena de suministro especializada, cumplimiento regulatorio Sernageomin y gestión de riesgos operacionales en sector de alto impacto.",mining / energía,FABRICACION DE MAQUINARIA PARA LA EXPLOTACION DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCION,lead,"""name""",,mfg-retail-hold,hs_deal_created,2026-W22,2026-05-25,1.0,0.0,1.0,True,,2025-08-04T08:00:00.000Z,,,213,2026-05-15T20:06:21.106Z,2026-05-25T16:01:52.300Z
Noval,inoval.cl,76053696-2,webhook,True,CONSTRUCTORA NOVAL LIMITADA,19468290178.0,"""exists_in_hubspot""",True,63,True,,"gran empresa (20 pts), 1 empresa hija (3 pts), 4221 trabajadores (10 pts), segmento sin clasificar (0 pts). Sin regulación (0 pts) porque el giro es construcción de edificios residenciales, que no cae bajo organismos supervisores específicos. Estimación de 50-200 proveedores (15 pts) por ser constructora grande con múltiples proyectos simultáneos que requiere suministros, servicios especializados y subcontratistas. Sin señal externa reportada (0 pts).","Constructora de 4.221 trabajadores con estructura compleja (2 empresas padres, 1 filial) gestiona decenas de proveedores y contratistas en proyectos residenciales simultáneos. Sin regulación sectorial explícita, pero requiere validar poderes, antecedentes tributarios y financieros de múltiples contrapartes. Monitoreo permanente de cumplimientos contractuales y documentación crítica para obras en ejecución.",manufactura / retail,CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL,lead,"""domain""",,mfg-retail-hold,ready,2026-W21,2026-05-20,,,,True,,2024-03-15T06:00:00.000Z,,,200,2026-05-15T20:01:46.560Z,2026-05-20T15:00:34.879Z
Dercorp,dercorp.cl,76053885-K,webhook,True,DERCORP S.A.,31837155950.0,"""exists_in_hubspot""",True,61,True,,"Gran empresa (20 pts), 2 empresas hijas (8 pts), 30 trabajadores (0 pts), segmento (0 pts). CMF (15 pts) por giro explícito de fondos y sociedades de inversión. Estimación 50-200 proveedores (15 pts) inferida por tamaño, estructura holding y regulación financiera que exige múltiples proveedores especializados. Sin señal externa (0 pts).","Fondos de inversión con estructura compleja: 3 accionistas, 2 filiales y 30 empleados requieren validación continua de contrapartes bajo supervisión CMF. Riesgo de incumplimiento normativo y conflictos de interés en relacionadas.",financiero,FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES,lead,"""domain""",,fsi-reg,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,1.0,True,,2026-01-08T06:00:00.000Z,,,201,2026-05-15T20:02:07.780Z,2026-05-25T16:01:59.330Z
DARIO OMAR VALDES VALDES Y CIA. LTDA.,,76063212-0,webhook,True,DARIO OMAR VALDES VALDES Y CIA. LTDA.,,sent_to_clay,False,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 423 trabajadores (5 pts), segmento sin clasificar (0 pts). Sin regulación específica en giro transporte de carga (0 pts), estimación 50-200 proveedores típica en logística por volumen operativo (15 pts), sin señal externa reportada (0 pts).","Empresa de transporte de carga con 423 trabajadores gestiona múltiples proveedores (combustible, repuestos, mantención, subcontratistas). Sin regulación sectorial explícita, pero requiere validación continua de contrapartes, licencias de conducción, seguros vigentes y cumplimiento tributario en operaciones diarias.",utilities / infraestructura,TRANSPORTE DE CARGA POR CARRETERA,,,,mfg-retail-hold,clay_sent,2026-W22,2026-05-25,,,,True,,,,,210,2026-05-15T20:05:17.814Z,2026-05-25T19:31:52.647Z
Cristian Moreno,,76062357-1,webhook,True,DISTRIBUIDORA Y MAYORISTA CRISTIAN MORENO SPA,,sent_to_clay,False,61,True,,"Gran empresa (20 pts), 1 empresa hija (3 pts), 775 trabajadores (8 pts), segmento (0 pts). Sin regulación específica en CMF, SEC, CNE, SISS, SUBTEL ni Supersal (0 pts). Distribuidora mayorista con múltiples puntos de venta estima 50–200 proveedores de bebidas, insumos y logística (15 pts). Sin señal externa reportada (0 pts).","Distribuidora con 775 empleados y estructura de holding gestiona cientos de puntos de venta y proveedores de bebidas. Requiere validación continua de contrapartes, renovación de poderes, cumplimiento tributario y monitoreo post-aprobación sin herramientas integradas.",manufactura / retail,VENTA AL POR MAYOR DE BEBIDAS ALCOHOLICAS Y NO ALCOHOLICAS,,,,mfg-retail-hold,clay_sent,2026-W22,2026-05-25,,,,True,,,,,209,2026-05-15T20:04:56.819Z,2026-05-25T19:32:20.199Z
CA4 Constructora,ca4.cl,76064737-3,webhook,True,CONSTRUCTORA CERRO APOQUINDO CUATRO S.A.,34961058712.0,"""exists_in_hubspot""",True,66,True,,"gran empresa (20 pts), 2 empresas hijas (8 pts), 900 trabajadores (8 pts), segmento (0 pts). Sin regulación (0 pts): giro explícito de construcción de edificios residenciales no requiere supervisión sectorial. Estimación 50-200 proveedores (15 pts): constructora de este tamaño típicamente maneja contratistas, subcontratistas y proveedores de materiales en ese rango. Sin señal (0 pts): no hay información de eventos externos.","Constructora de 900 trabajadores con 2 filiales gestiona múltiples proveedores y contratistas en obra. Requiere validación continua de documentación, poderes, datos bancarios y cumplimiento tributario. Riesgo legal y financiero por cambios en nóminas y estructura societaria.",manufactura / retail,CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL,lead,"""domain""",,util-infra,ready,2026-W22,2026-05-25,,,,True,,,,,212,2026-05-15T20:05:59.913Z,2026-05-25T21:00:55.466Z
Serviall,serviall.cl,76035324-8,webhook,True,SERVIALL SOCIEDAD ANONIMA,19603836772.0,"""exists_in_hubspot""",True,70,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 301 trabajadores (5 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito en fabricación de maquinaria para explotación de minas; estimación 50-200 proveedores (15 pts) por complejidad manufacturera y dependencia de suministros especializados; sin señal externa (0 pts).","Fabricante de maquinaria minera con 301 empleados gestiona múltiples proveedores de componentes, materias primas y servicios especializados. Operaciones complejas bajo supervisión Sernageomin exigen validación continua de contrapartes, documentación técnica compleja y renovaciones periódicas de habilitaciones.",mining / energía,FABRICACION DE MAQUINARIA PARA LA EXPLOTACION DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCION,lead,"""domain""",,mining-hse,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,1.0,True,,2025-04-16T08:00:00.000Z,,,165,2026-05-15T19:50:03.648Z,2026-05-25T16:02:06.080Z
Fruticola Olmue,olmue.com,76078112-6,webhook,True,FRUTICOLA OLMUE SPA,9827092386.0,sent_to_clay,True,75,True,,"Gran empresa (20 pts), 3 empresas hijas (15 pts), 2198 trabajadores (10 pts), segmento (0 pts). Sin regulación (0 pts); el giro corresponde a manufactura alimentaria sin supervisión sectorial específica. Estimación 50-200 proveedores (15 pts) inferida por tamaño, complejidad agroindustrial y cadena de suministro. Sin señal (0 pts).","Empresa grande con 2198 empleados, 3 filiales y 6 matrices requiere validar múltiples proveedores de insumos agrícolas, empaque y logística. Cadena de suministro compleja en alimentos exige trazabilidad y documentación continua.",manufactura / retail,"ELABORACION Y CONSERVACION DE FRUTAS, LEGUMBRES Y HORTALIZAS",opportunity,"""name""",,mfg-retail-hold,skipped_hs_lifecycle | lifecycle: opportunity,2026-W22,2026-05-25,1.0,1.0,1.0,True,,2025-12-02T06:00:00.000Z,,,232,2026-05-15T20:12:54.269Z,2026-05-25T15:00:56.608Z
ALCANCE S.A.,,76076098-6,webhook,True,ALCANCE S.A.,,sent_to_clay,False,60,True,,"mediana (12 pts), 11 empresas hijas (15 pts), 22 trabajadores (0 pts), segmento (0 pts). CMF (15 pts): giro explícito de fondos, sociedades de inversión y entidades financieras similares indica supervisión CMF directa. Estimación 50-200 proveedores (15 pts): holding financiero con múltiples filiales típicamente maneja proveedores de servicios financieros, auditoría, custodias y operacionales en ese rango. Sin señal (0 pts).","Holding financiero con 11 empresas hijas y estructura compleja requiere validación continua de contrapartes bajo supervisión CMF. Múltiples entidades, documentación variada y obligaciones regulatorias generan riesgo de incumplimiento y conflictos de interés.",financiero,FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES,,,,fsi-reg,clay_sent,2026-W22,2026-05-25,,,,True,,,,,230,2026-05-15T20:12:11.984Z,2026-05-25T19:32:08.245Z
Transportes Puelche,transportespuelche.cl,76056867-8,webhook,True,TRANSPORTES PUELCHE S.A.,,"""does_not_exists_in_hubspot""",False,85,True,,"Gran empresa (20 pts), 3 empresas hijas (15 pts), 419 trabajadores (5 pts), segmento (0 pts). Sin regulación (0 pts) pues transporte marítimo de cabotaje no cae bajo CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL. Estimación 50-200 proveedores (15 pts) por naturaleza de operaciones portuarias con múltiples contratistas y servicios. Sin señal (0 pts).","Empresa de transporte marítimo con 419 trabajadores y estructura holding compleja (3 filiales, 2 matrices). Gestiona múltiples proveedores y contratistas en operaciones portuarias con documentación variada, renovaciones periódicas y riesgo de conflictos de interés entre entidades vinculadas.",utilities / infraestructura,TRANSPORTE DE PASAJEROS MARITIMO Y DE CABOTAJE,,,,util-infra,hs_checked,2026-W22,2026-05-25,,,,True,,,,,204,2026-05-15T20:03:11.159Z,2026-05-25T14:01:09.928Z
FRONTEL,gruposaesa.cl,76073164-1,webhook,True,EMPRESA ELECTRICA DE LA FRONTERA S.A.,22054407306.0,"""exists_in_hubspot""",True,78,True,,"Gran empresa (20 pts), 2 empresas hijas (8 pts), 475 trabajadores (5 pts), segmento sin clasificar (0 pts). SEC (15 pts): giro explícito en distribución de energía eléctrica, alcance directo del regulador. Estimación 50-200 proveedores (15 pts): empresa de servicios críticos con operaciones regionales requiere contratistas especializados, mantenimiento y suministros diversos. Sin señal externa registrada (0 pts).","Distribuidor eléctrico regional con 475 trabajadores y estructura compleja (7 padres, 2 filiales) gestiona múltiples proveedores bajo regulación SEC. Renovación continua de contratos, validación de poderes y monitoreo de cumplimiento normativo en red operativa crítica.",mining / energía,DISTRIBUCION DE ENERGIA ELECTRICA,lead,"""domain""",,util-infra,skipped_hs_activity | last_contact: 2026-03-23T06:00:00.000Z,2026-W21,2026-05-18,5.0,0.0,5.0,True,,2026-03-23T06:00:00.000Z,,,227,2026-05-15T20:11:13.441Z,2026-05-18T15:00:38.622Z
Masaval,gomaxxa.co,76079342-6,webhook,True,MASAVAL S.A.G.R.,,"""does_not_exists_in_hubspot""",False,71,True,,"Gran empresa (20 pts), 3 empresas hijas (15 pts), 80 trabajadores (3 pts), segmento (0 pts). CMF (15 pts) porque giro explícito es actividades de crédito prendario, negocio financiero supervisado. Estimación 50-200 proveedores (15 pts) por tamaño, complejidad operativa y requisitos de validación en sector financiero. Sin señal (0 pts).","Empresa financiera regulada con estructura de holding compleja (3 filiales, 3 matrices) que gestiona crédito prendario. Requiere validación continua de contrapartes, renovación de poderes, monitoreo de conflictos de interés y cumplimiento normativo CMF en múltiples entidades vinculadas.",financiero,ACTIVIDADES DE CREDITO PRENDARIO,,,,fsi-reg,hs_checked,2026-W22,2026-05-25,,,,True,,,,,233,2026-05-15T20:13:20.302Z,2026-05-25T14:01:11.335Z
CRUSTACEOS SUR S.A.,camanchaca.cl,76143821-2,webhook,True,CRUSTACEOS SUR S.A.,9826921735.0,"""exists_in_hubspot""",True,63,True,,"gran empresa (20 pts), 1 empresas hijas (3 pts), 1443 trabajadores (10 pts), segmento (0 pts). Sin regulación (0 pts). Giro pesca industrial sugiere 50-200 proveedores de insumos, combustible, servicios portuarios y logística (15 pts). Sin señal (0 pts).","Empresa pesquera industrial de 1443 trabajadores con estructura accionaria compleja (holding). Maneja decenas de proveedores de insumos, servicios y logística. Sin regulación sectorial explícita, pero con alta rotación de contrapartes y riesgos financiero-tributarios en cadena de suministro.",manufactura / retail,"PESCA MARITIMA INDUSTRIAL, EXCEPTO DE BARCOS FACTORIA",opportunity,"""domain""",,mfg-retail-hold,skipped_hs | lifecycle: opportunity | last_contact: 2026-05-20T08:00:00.000Z,2026-W22,2026-05-25,7.0,7.0,7.0,True,,2026-05-20T08:00:00.000Z,,,318,2026-05-15T20:42:43.284Z,2026-05-25T15:00:56.843Z
Fynsa,fynsa.com,76071197-7,webhook,True,FYNSA ADMINISTRADORA GENERAL DE FONDOS S.A..,22479821681.0,"""exists_in_hubspot""",True,60,True,,"mediana (12 pts), 40 empresas hijas (15 pts), 42 trabajadores (0 pts), segmento (0 pts). CMF (15 pts) ya que el giro explícito es administradora de fondos de inversión, regulada por la Comisión para el Mercado Financiero. Estimación de 50-200 proveedores (15 pts) considerando estructura holding con múltiples empresas hijas que requieren servicios corporativos, asesoría legal, auditoría y custodias. Sin señal (0 pts).","Administradora de fondos con 40 empresas hijas y estructura compleja requiere validación continua de contrapartes bajo supervisión CMF. Múltiples entidades, documentación regulatoria, poderes vencidos y monitoreo post-aprobación son críticos para cumplimiento normativo.",financiero,ADMINISTRADORAS DE FONDOS DE INVERSION,lead,"""domain""",,fsi-reg,hs_deal_created,2026-W22,2026-05-25,1.0,1.0,1.0,True,,2025-01-30T06:00:00.000Z,,,223,2026-05-15T20:09:52.730Z,2026-05-25T22:01:01.879Z
RECYCLING INNOVATION AND TECHNOLOGIES SPA,,76081097-5,webhook,True,RECYCLING INNOVATION AND TECHNOLOGIES SPA,31867683916.0,sent_to_clay,True,70,True,,"gran empresa (20 pts), 3 empresas hijas (15 pts), 40 trabajadores (0 pts), segmento (0 pts). Sin regulación (0 pts), giro de almacenamiento y depósito no supervisado por CMF, SEC, CNE, SISS, SUBTEL o Supersal. Estimación de 50-200 proveedores (15 pts) considerando operaciones logísticas y servicios de almacenamiento. Sin señal externa reportada (0 pts).","Empresa de almacenamiento con 40 empleados y estructura holding compleja (5 accionistas, 3 filiales). Gestiona múltiples proveedores de servicios logísticos y operacionales sin marco regulatorio formal que exija compliance, pero con riesgo de deuda tributaria y documentación vencida en contrapartes.",utilities / infraestructura,OTROS SERVICIOS DE ALMACENAMIENTO Y DEPOSITO N.C.P.,lead,"""name""",,mfg-retail-hold,clay_sent,2026-W21,2026-05-18,,,,,,,,,236,2026-05-15T20:14:18.827Z,2026-05-18T14:07:55.430Z
Very Powerful Solutions,solucionesvps.cl,76081286-2,webhook,True,SERVICIOS VERY POWERFUL SOLUTIONS SOCIEDAD POR ACCIONES,,"""does_not_exists_in_hubspot""",False,68,True,,"gran empresa (20 pts), 0 empresas hijas (0 pts), 166 trabajadores (3 pts), segmento (0 pts). Sernageomin (15 pts) dado que el giro explicita reparación de maquinaria para minería y extracción de petróleo. Estimación de 50-200 proveedores (15 pts) inferida por naturaleza de servicios de reparación especializada que requiere múltiples suministros técnicos. Sin señal externa (0 pts).","Empresa de reparación de maquinaria para minería y petróleo con 166 trabajadores gestiona múltiples contrapartes en operaciones críticas. Requiere validación continua de proveedores bajo supervisión Sernageomin, con documentación técnica compleja y renovaciones periódicas de acreditaciones.",mining / energía,"REPARACION DE MAQUINARIA METALURGICA, PARA LA MINERIA, EXTRACCION DE PETROLEO Y PARA LA CONSTRUCCION",,,,mining-hse,hs_checked,2026-W21,2026-05-20,,,,True,,,,,238,2026-05-15T20:15:01.290Z,2026-05-20T15:00:34.188Z
SMA,smaltda.com,76169625-4,webhook,True,SERVICIOS PARA LA MANTENCION MINERA E INDUSTRIAL S.M.A. SPA,33102686299.0,"""exists_in_hubspot""",True,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 144 trabajadores (3 pts), segmento sin clasificar (0 pts). Sernageomin (15 pts) por giro explícito en actividades de apoyo para explotación minera; estimación de 50-200 proveedores (15 pts) por volumen operacional típico de servicios mineros con múltiples contratistas; sin señal externa identificada (0 pts).","Empresa de servicios mineros con 144 trabajadores gestiona múltiples contrapartes en operaciones de apoyo a faenas. Sujeta a regulación Sernageomin, requiere validación continua de proveedores y contratistas. Alto riesgo de incumplimiento normativo y exposición legal en cadena de suministro minero.",mining / energía,ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,,"""name""",,mining-hse,ready,2026-W22,2026-05-25,,,,True,,1969-12-31T06:00:00.000Z,,,336,2026-05-15T20:48:57.311Z,2026-05-25T15:00:56.914Z
EMPRESAS REUTTER S.A.,reutter.cl,76080182-8,webhook,True,EMPRESAS REUTTER S.A.,19604119382.0,"""exists_in_hubspot""",True,60,True,,"mediana (12 pts), 8 empresas hijas (15 pts), 35 trabajadores (0 pts), segmento (0 pts). CMF (15 pts): giro describe ""asesoría y consultoría en inversión financiera"" que cae bajo supervisión CMF en fintech y asesoría regulada; estimación 50-200 proveedores (15 pts) considerando tamaño mediano, holding con múltiples entidades y necesidad de validación de terceros en servicios financieros; sin señal externa (0 pts).","Holding de 8 empresas hijas con 35 empleados requiere validar decenas de proveedores y contratistas. Asesoría financiera exige cumplimiento CMF continuo. Múltiples entidades, documentación diversa, riesgos de incumplimiento tributario y legal en cadena operativa compleja.",financiero,"EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA, SOCIEDADES DE APOYO AL GIRO",lead,"""domain""",,fsi-reg,hs_deal_created,2026-W22,2026-05-25,2.0,2.0,2.0,True,,2026-02-23T06:00:00.000Z,,,235,2026-05-15T20:14:02.591Z,2026-05-25T16:02:18.296Z
LARRAIN VIAL,larrainvial.com,76081215-3,webhook,True,LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS,9144533084.0,"""exists_in_hubspot""",True,68,True,,"Gran empresa (20 pts), 27 empresas hijas (15 pts), 11 trabajadores (0 pts), segmento (0 pts). CMF (15 pts) por ser administradora de fondos regulada explícitamente. Estimación 50-200 proveedores (15 pts) basada en tamaño, holding complejo y operaciones multi-entidad típicas del sector. Sin señal (0 pts).","Administradora de fondos con 27 filiales y estructura compleja requiere validación continua de contrapartes, proveedores y depositarios. Regulación CMF exige cumplimiento exhaustivo. Multiplicidad de entidades y renovaciones periódicas generan riesgo de inconsistencias documentales y conflictos de interés.",financiero,ADMINISTRADORAS DE FONDOS DE INVERSION,50020179,"""domain""",,fsi-reg,skipped_hs_lifecycle | lifecycle: 50020179,2026-W21,2026-05-20,3.0,3.0,3.0,True,,2025-12-01T06:00:00.000Z,,,237,2026-05-15T20:14:44.909Z,2026-05-20T16:00:48.407Z
SIERRA GORDA S.C.M.,sgscm.cl,76081590-K,webhook,True,SIERRA GORDA S.C.M.,18075114330.0,"""exists_in_hubspot""",True,75,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 1879 trabajadores (10 pts), segmento (0 pts). Sernageomin (15 pts) por giro explícito 'extracción y procesamiento de cobre'; estimación 50-200 proveedores (15 pts) dada escala operativa minera típica; sin señal externa (0 pts).","Operación minera de 1879 trabajadores requiere gestión masiva de contratistas, proveedores y subcontratistas. Regulación Sernageomin exige compliance formal en faenas. Renovación periódica de proveedores, validación de documentación técnica y legal, monitoreo post-aprobación crítico.",mining / energía,EXTRACCION Y PROCESAMIENTO DE COBRE,50020180,"""domain""",,mining-hse,skipped_hs_lifecycle | lifecycle: 50020180,2026-W21,2026-05-20,10.0,10.0,10.0,True,,2026-02-10T06:00:00.000Z,,,239,2026-05-15T20:15:23.112Z,2026-05-20T16:00:48.534Z
B & B,,76050148-4,webhook,True,AGRICOLA B & B S.A.,,sent_to_clay,False,68,True,,"Gran empresa (20 pts), 0 empresas hijas (0 pts), 100 trabajadores (3 pts), segmento (0 pts). Sin regulación (0 pts); cultivo de legumbres no es giro regulado por CMF, Sernageomin, SEC, CNE, SISS ni SUBTEL. Proveedores estimados entre 50-200 (insumos agrícolas, equipos, distribución, servicios especializados) = 15 pts. Sin señal externa (0 pts).","Empresa agrícola de 100 trabajadores con cadena de suministro dispersa (insumos, semillas, equipos, logística). Sin regulación sectorial específica, pero requiere validación continua de proveedores, certificaciones fitosanitarias y cumplimiento tributario en operaciones recurrentes.",mining / energía,CULTIVO DE OTRAS LEGUMBRES (EXCEPTO POROTOS Y LUPINO),,,,mfg-retail-hold,clay_sent,2026-W22,2026-05-25,,,,True,,,,,191,2026-05-15T19:59:08.904Z,2026-05-25T13:47:31.209Z
BS2,bs2.cl,76109654-0,webhook,True,BUSINESS SOLUTIONS AND SERVICES SPA,,"""does_not_exists_in_hubspot""",False,73,True,,"Gran empresa (20 pts), 1 empresa hija (3 pts), 224 trabajadores (5 pts), segmento (0 pts). SUBTEL (15 pts) por giro explícito en telecomunicaciones. Estimación 50-200 proveedores (15 pts) dado tamaño operacional y naturaleza de servicios de telecom. Sin señal externa reportada (0 pts).","Gran operador de telecomunicaciones con 224 empleados y estructura holding. Gestiona múltiples proveedores y contratistas bajo supervisión SUBTEL. Requiere validación continua de contrapartes, documentación técnica compleja y cumplimiento regulatorio permanente.",utilities / infraestructura,OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.,,,,util-infra,hs_checked,2026-W22,2026-05-25,,,,True,,,,,273,2026-05-15T20:27:13.786Z,2026-05-25T14:01:13.356Z
