Empresa,RUT,Origen,Segmento,num_hijos,num_padres,num_trabajadores,score_v0,vertical_v0,pain_v0,reasoning_v0,score_v1,vertical_v1,pain_v1,reasoning_v1,score_v2,vertical_v2,pain_v2,reasoning_v2,pts_tamaño,pts_holding,pts_trabajadores,pts_regulacion,pts_proveedores
INMOBILIARIA E INVERSIONES TATISCO LIMITADA,76396005-6,Random,None,0,0,0,17,manufactura,Verificación de contrapartes en transacciones inmobiliarias y gestión de proveedores de servicios,"Inmobiliaria sin regulación compliance obligatoria (-0). Tramo 4 de ventas indica empresa pequeña a mediana (+5). Sector inmobiliario típicamente maneja <50 proveedores (+5). Sin señales recientes de eventos urgentes (+0). No hay información de competencia actual (+0). El sector no tiene obligaciones KYB/compliance como financiero, energía o minería, limitando el fit de producto.",8,otro,"Evaluación de riesgos en transacciones inmobiliarias: verificación de contrapartes (compradores, vendedores, arrendatarios) para mitigación de lavado de activos, fraude y cumplimiento normativo","Segmento 'Otro' asignado porque la actividad inmobiliaria no coincide con Financiero, Mining/Energía, Utilities/Infraestructura o Manufactura/Retail. Regulación=0 (no regulada por SISS/SEC). Proveedores=5 (empresa micro con presumiblemente <50 contrapartes directas). Señal=0 (sin información de licitaciones, multas, M&A o nueva regulación). Competencia=0 (sin datos de herramientas de compliance utilizadas)",2,Otro,"Gestión de debida diligencia en transacciones inmobiliarias y evaluación de riesgos de contrapartes (compradores, vendedores, arrendatarios)","La empresa es una inmobiliaria de micro tamaño sin trabajadores registrados, dedicada a compra, venta y alquiler de inmuebles. Se clasifica en 'Otro' ya que el sector inmobiliario no corresponde a los verticales específicos listados. No está regulada por CMF, Sernageomin, SEC o CNE (0 puntos regulación). Como micro empresa sin estructura organizacional, probablemente gestiona <50 proveedores típicos del rubro (constructores, abogados, tasadores), asignando 0 puntos. Sin señal externa reportada (N/A = 0 puntos). El pain_point relevante es que empresas inmobiliarias requieren validar la legitimidad de contrapartes en transacciones, especial riesgo en un sector con alta exposición a fraude y lavado de activos.",2,0,0,0,0
FACTORY QUINCEN SPA,76915333-0,Random,Mining / Energía,0,0,0,17,manufactura,Verificación de proveedores en proyectos de construcción y acabados,"Empresa pequeña (Tramo 1) en construcción/acabados sin regulación compliance obligatoria. Sector típicamente fragmentado con múltiples proveedores (estimado 50-150), pero bajo urgencia de KYB. Sin señales de eventos disruptivos. Mercado potencial pero baja prioridad vs sectores regulados.",6,otro,"Gestión de riesgos en la cadena de proveedores y subcontratistas de construcción, cumplimiento normativo en contrataciones y debida diligencia de colaboradores en obras","Empresa clasificada en segmento 'Otro' (terminación y acabado de edificios - construcción). No regulada por SISS/SEC (regulacion=0). Sin información sobre número de proveedores, se asume <50 por naturaleza de empresa pequeña en tramo SII 1 (proveedores=+5). Sin señales de licitación, multa, M&A o nueva regulación detectadas (señal=0). No hay información sobre uso de herramientas de compliance (competencia=0, desconocido).",20,Manufactura Retail,"Gestión y evaluación de proveedores de materiales de construcción y acabados, así como subcontratistas especializados en terminación de obras","La empresa se clasifica en 'Manufactura Retail' porque su giro 'terminación y acabado de edificios' corresponde a servicios de construcción especializados que requieren coordinación de múltiples proveedores y subcontratistas. No está regulada por entidades específicas como CMF, Sernageomin, SEC o CNE. Se estiman 50-200 proveedores típicos en este rubro (materiales, equipos, subcontratistas especializados). Sin señal externa reportada. El tamaño sin información (0 trabajadores registrados) sugiere posible microempresa o empresa en formación, lo que reduce la probabilidad de proveedores >200.",0,0,0,0,15
CONSTRUCCIONES ALEXANDER REYES E.I.R.L.,76554893-4,Random,Manufactura / Retail,0,0,29,32,manufactura,Verificación de contrapartes y proveedores en cadena de suministro construcción,Empresa pequeña (Tramo 8) sin regulación compliance obligatoria sectorial. Construcción de edificios no residenciales típicamente maneja entre 50-200 proveedores (+15). Tamaño pequeño (+5). Sin señales de urgencia recientes identificadas (+0). Sector sin obligaciones regulatorias específicas de KYB como financiero o energía (-15 vs baseline). Potencial moderado-bajo como ICP.,19,otro,"Evaluación de proveedores y contratistas en proyectos de construcción para mitigar riesgos de incumplimiento, insolvencia y antecedentes legales",Clasificada como 'Otro' porque construcción no residencial no aplica a segmentos especializados. Regulación: 0 pts (no regulada por SISS/SEC). Proveedores: 5 pts (asumiendo <50 proveedores típicos en PYME constructora mediana). Señal: 0 pts (sin licitación/multa/M&A/regulación nueva reportada). Competencia: 0 pts (sin información sobre herramientas de verificación usadas).,27,Otro,"Gestión y evaluación de riesgos de proveedores de materiales, subcontratistas y proveedores de servicios en proyectos de construcción","La empresa es una EIRL de construcción de edificios no residenciales con 29 trabajadores (mediana). No pertenece a verticales regulados como financiero, mining/energía o utilities. Se clasifica como 'Otro' siendo construcción especializada. No está regulada por CMF, Sernageomin, SEC o CNE (puntos regulación: 0). En construcción, típicamente se manejan entre 50-200 proveedores considerando materiales, subcontratistas y servicios (puntos proveedores: 15). Sin señal externa reportada (puntos señal: 0). El principal pain point es la debida diligencia de múltiples proveedores y detección de riesgos en la cadena de suministro, especialmente crítico en proyectos de construcción.",12,0,0,0,15
ENTIDAD INDIVIDUAL EDUCACIONAL ROMERO MARTINEZ,65154516-1,Random,None,0,0,23,5,manufactura,Gestión básica de proveedores en educación privada sin requisitos compliance críticos,"Entidad educacional pequeña (tramo 1 de ventas) sin regulación compliance obligatoria como financiero, energía o minería. Bajo volumen esperado de proveedores (<50). Sin señales de urgencia. No califica en verticales prioritarios de Plutto.",6,otro,"Verificación de antecedentes de educadores, proveedores de servicios escolares y cumplimiento normativo en protección de menores","Empresa clasificada como 'Otro' (educación preescolar privada no regulada por SISS/SEC). Regulación: 0 puntos (no regulada por organismos especificados, aunque el sector educacional tiene supervisión del MINEDUC). Proveedores: 5 puntos (asumiendo <50 proveedores típicos de una entidad individual pequeña de enseñanza preescolar). Señal: 0 puntos (sin información de licitación, multa, M&A o nueva regulación). Competencia: 0 puntos (desconocido si usa herramientas de verificación).",0,Otro,"Gestión de proveedores de servicios educativos (alimentos, transporte, materiales pedagógicos) y cumplimiento de normativas de seguridad infantil","La empresa es un jardín infantil privado (enseñanza preescolar) con 23 trabajadores, clasificada en 'Otro' porque no encaja en verticales financiero, minería, utilities o manufactura retail. No está regulada por CMF, Sernageomin, SEC ni CNE (0 puntos regulación). Con 23 empleados, probablemente maneja menos de 50 proveedores para servicios básicos: alimentos, transporte, materiales escolares (0 puntos proveedores). Sin señal externa reportada (N/A = 0 puntos). El pain point es relevante: instituciones educacionales preescolares requieren verificar proveedores confiables dado el contacto con menores, área donde Plutto puede aportar valor en debida diligencia.",0,0,0,0,0
SOCIEDAD RODIVI LIMITADA,77322304-1,Random,Manufactura / Retail,0,0,0,22,manufactura,Verificación de proveedores en proyectos de construcción especializada,"Empresa pequeña (Tramo 3) en construcción sin regulación compliance obligatoria. Sin señales de urgencia identificadas. Bajo volumen estimado de proveedores para su tamaño. Sector no regulado por CMF, SEC, CNE o Sernageomin. Potencial limitado como cliente de compliance B2B.",8,otro,Evaluación y gestión de riesgos de proveedores y subcontratistas en proyectos de construcción especializada,"Empresa clasificada como 'Otro' (giro: Otras Actividades Especializadas de Construcción, no encaja en segmentos principales). Regulación: 0 pts (no regulada por SISS/SEC). Proveedores: 5 pts (asumiendo <50 proveedores típicos en microempresa de construcción). Señal: 0 pts (sin información de licitación, multa, M&A o nueva regulación). Competencia: 0 pts (sin información sobre uso de herramientas de compliance).",2,Otro,Gestión y evaluación de subcontratistas y proveedores de servicios especializados en construcción para asegurar cumplimiento normativo y mitigar riesgos operacionales,"La empresa SOCIEDAD RODIVI LIMITADA opera en 'OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCION', un giro específico que no se alinea directamente con los verticales predefinidos (Financiero, Mining/Energía, Utilities/Infraestructura, Manufactura Retail), por lo que se clasifica como 'Otro'. No hay evidencia de regulación sectorial específica por CMF, Sernageomin, SEC o CNE (0 puntos). Como micro empresa con 0 trabajadores reportados, probablemente maneja <50 proveedores típicos de construcción especializada (0 puntos). No hay señal externa reportada (N/A = 0 puntos). El pain_point se basa en que empresas de construcción especializada requieren evaluar constantemente subcontratistas y proveedores para cumplir normativas laborales y de seguridad.",2,0,0,0,0
SOC CAMILLA Y CAMILLA HERMANAS LIMITADA,77842920-9,Random,Manufactura / Retail,0,0,10,12,manufactura,Verificación manual de proveedores en cadena de suministro alimentaria,"Pequeña empresa de alimentos sin regulación compliance obligatoria (no financiero, energía, minería o utilities). Bajo volumen de proveedores esperado (~20-30). Sin señales de urgencia. No es ICP prioritario para Plutto dado enfoque en sectores regulados de alto riesgo.",11,manufactura,"Gestión de proveedores de materias primas (harinas, levaduras, aditivos) y evaluación de riesgos de calidad y cumplimiento normativo en la cadena de suministro de alimentos","Clasificada en Manufactura por su giro de elaboración de productos de panadería y pastelería. Regulación: 0 puntos (no regulada por autoridades específicas de este segmento). Proveedores: 5 puntos (pequeña empresa con <50 proveedores estimados típicos para panadería artesanal). Señal: 0 puntos (sin información de licitaciones, multas, M&A o nuevas regulaciones). Competencia: 0 puntos (desconocido si utiliza herramientas de verificación)",10,Manufactura Retail,"Gestión y evaluación de proveedores de materias primas (harinas, levaduras, aditivos) y control de calidad en la cadena de suministro para asegurar cumplimiento normativo sanitario.","La empresa es una pequeña panadería/pastelería (10 trabajadores) clasificada en Manufactura Retail por su actividad de elaboración y venta de productos. No está regulada por CMF, Sernageomin, SEC o CNE (no es sector financiero, minería, energía o utilities). Como pequeña empresa con <50 proveedores estimados (típico en pymes de panadería), suma 0 puntos en proveedores. Sin señal externa reportada (N/A). El dolor principal es la evaluación y cumplimiento normativo de proveedores de insumos críticos, donde Plutto podría aportar valor en debida diligencia de proveedores.",5,0,0,0,0
METANOIA SEAGARDEN SPA,77751935-2,Random,Manufactura / Retail,0,0,0,15,manufactura,Verificación de proveedores en cadena de suministro de productos del mar,Empresa pequeña (Tramo 1 SII) sin regulación compliance obligatoria específica en su industria. Sector acuícola/pesca mayorista típicamente maneja 30-80 proveedores (score +5). Sin señales de urgencia identificadas. Tamaño pequeño suma +5. No hay indicadores de que enfrente presión regulatoria inmediata ni eventos M&A/licitaciones que generen demanda urgente de KYB.,0,otro,"Evaluación de riesgos de proveedores de productos del mar (pesca ilegal, trazabilidad, cumplimiento sanitario) y verificación de clientes/distribuidores en cadena de suministro de alimentos","Clasificada como 'Otro' al ser comercio mayorista de productos del mar, sector no incluido en verticales específicos (Financiero, Mining, Utilities, Manufactura). Regulación: 0 puntos (no regulada por SISS/SEC). Proveedores: Sin información disponible sobre cantidad de proveedores. Señal: No se reportan licitaciones, multas, M&A o nueva regulación. Competencia: Sin información sobre herramientas de due diligence utilizadas. La empresa requiere validación de cadena de suministro en sector de alimentos/pesca, donde Plutto puede aportar detección de riesgos regulatorios y de proveedores.",20,Manufactura Retail,Gestión y evaluación de proveedores de productos del mar y cumplimiento normativo sanitario en la cadena de suministro,"La empresa se clasifica en 'Manufactura Retail' por ser distribuidora mayorista de productos del mar (pescados, mariscos y algas). No está regulada por CMF, Sernageomin, SEC ni CNE específicamente (aunque el sector pesquero tiene regulación del Sernapesca, no es una de las entidades listadas). Se estima entre 50-200 proveedores considerando que es mayorista con múltiples orígenes de pesca/acuicultura. Sin señal externa reportada (N/A). El pain_point relevante es la debida diligencia de proveedores en un sector con riesgos sanitarios, sostenibilidad y trazabilidad.",0,0,0,0,15
CONSTANZA REYES SPA,77691699-4,Random,None,0,0,0,5,manufactura,Verificación manual de proveedores en pequeño comercio minorista,Empresa pequeña (Tramo 3) sin regulación compliance obligatoria. Retail especializado tiene bajo volumen de proveedores (<50). Sin señales de urgencia. No califica como ICP prioritario para Plutto.,8,manufactura,Gestión de riesgo en la cadena de proveedores de alimentos y cumplimiento normativo sanitario en la selección de distribuidores y proveedores de insumos,"CONSTANZA REYES SPA se clasifica en segmento Manufactura/Retail por su giro de venta al por menor de alimentos en minimarket. Regulación: 0 puntos, no está regulada por organismos específicos mencionados en criterios (CMF, Sernageomin, SEC, CNE, SISS). Proveedores: 5 puntos, como micro empresa de retail típicamente tiene <50 proveedores directos. Señal: 0 puntos, no hay información de licitaciones, multas, M&A o nueva regulación. Competencia: 0 puntos, no hay evidencia de uso de herramientas de compliance (Regcheq/LexisNexis/KPMG/manual).",22,Manufactura Retail,Gestión y evaluación de proveedores de productos alimenticios para asegurar cumplimiento de normas sanitarias y calidad,"La empresa es un minimarket/almacén pequeño dedicado a venta minorista de alimentos, clasificado en Manufactura Retail por su naturaleza comercial. No está regulada por CMF, Sernageomin, SEC o CNE directamente. Estima 50-200 proveedores (distribuidores mayoristas, fabricantes de alimentos, proveedores locales) típicos de este tipo de negocio minorista. Sin señal externa documentada. El pain point principal es la necesidad de evaluar proveedores de alimentos para cumplir estándares sanitarios y de calidad.",2,0,0,0,15
EMPRESA DE SERVICIOS TRANSITORIOS MAMPRO SPA,77878682-6,Random,None,0,0,0,12,manufactura,Verificación de identidad y antecedentes de trabajadores temporales,"Empresa pequeña de dotación de recursos humanos (Tramo 1 ventas) sin regulación compliance obligatoria específica. No hay señales de urgencia. El giro implica gestión de múltiples trabajadores pero bajo volumen de proveedores formales. Bajo potencial de compra por tamaño y ausencia de drivers regulatorios. Scoring: Sin regulación (+0), <50 proveedores (+5), pequeña empresa (+5), sin señales (+0), competidor desconocido (+0) = 10 puntos, ajustado a 12 por relevancia mínima en verificación de contrapartes.",6,otro,"Gestión de riesgos de cumplimiento normativo en la selección y evaluación de trabajadores transitorios, verificación de antecedentes y detección de fraude en contrataciones","Empresa clasificada en segmento 'Otro' (servicios de dotación de recursos humanos no regulada por SISS/SEC). Regulación: 0 puntos (no regulada por organismos especificados). Proveedores: 5 puntos (supuesto <50 proveedores, sin información específica disponible). Señal: 0 puntos (sin licitación/multa/M&A/nueva regulación reportada). Competencia: 0 puntos (información desconocida sobre herramientas de compliance utilizadas).",0,Otro,Gestión y evaluación de calidad de proveedores de recursos humanos temporal para asegurar cumplimiento normativo laboral y evitar riesgos de incumplimiento regulatorio,"La empresa es de servicios transitorios (dotación de RRHH), no clasificada en verticales específicos de riesgo regulatorio alto (financiero, mining, utilities, manufactura retail), por lo que corresponde 'Otro'. No está regulada por CMF, Sernageomin, SEC ni CNE (0 puntos regulación). Siendo una empresa pequeña (0 trabajadores registrados, sin información de tamaño), probablemente maneja <50 proveedores, típicamente empresas de transporte, logística y servicios básicos (0 puntos). Sin señal externa reportada (N/A = 0 puntos). El pain_point es su necesidad de evaluar y monitorear proveedores de RRHH para cumplir debida diligencia laboral.",0,0,0,0,0
INMOBILIARIA LOS SARGAZOS LIMITADA,79602920-K,Random,None,1,4,0,12,manufactura,Verificación de contrapartes en transacciones inmobiliarias y gestión de proveedores,Empresa pequeña (Tramo 1 SII) en sector inmobiliario sin regulación compliance obligatoria específica como financiero/minería/utilities. Sin señales de urgencia detectadas. Bajo volumen estimado de proveedores para inmobiliaria pequeña (~5 puntos). Tamaño pequeño (+5). No hay eventos activadores. Sector de bajo riesgo regulatorio comparado con verticales objetivo de Plutto.,0,otro,"Evaluación de riesgos en transacciones inmobiliarias: verificación de proveedores (constructoras, inmobiliarias asociadas), detección de fraude en contrapartes y cumplimiento normativo en operaciones de compra-venta y alquiler de propiedades.","Empresa clasificada como 'otro' por ser inmobiliaria (no encaja en segmentos específicos: Financiero, Mining/Energía, Utilities/Infraestructura, Manufactura/Retail). No regulada por SISS/SEC (regulación = 0). Sin información sobre cantidad de proveedores disponible (proveedores = 0). Sin señales de licitación, multa, M&A o nueva regulación documentadas (señal = 0). Sin información sobre herramientas de compliance que utilice (competencia = 0, desconocido por defecto).",3,Otro,Gestión y evaluación de riesgos en transacciones inmobiliarias con múltiples entidades relacionadas (4 empresas padres),"La empresa es una inmobiliaria sin regulación específica de CMF, Sernageomin, SEC o CNE. Clasificada en 'Otro' porque el giro inmobiliario no corresponde a los verticales disponibles. Con 0 trabajadores reportados y sin señal externa (N/A), los puntos de regulación y señal son 0. Respecto a proveedores, siendo una inmobiliaria pequeña (Tramo SII 1, sin trabajadores) con estructura de holding (1 empresa hija, 4 padres), se estima <50 proveedores directos = 0 puntos. Sin embargo, la complejidad de su estructura corporativa y el giro inmobiliario presentan riesgos de debida diligencia que Plutto podría resolver.",0,3,0,0,0
NEWCO SPA,76452159-5,Random,Financiero,0,0,0,65,financiero,Verificación obligatoria de contrapartes y gestión de riesgo compliance en fondos de inversión,Industria financiera con regulación CMF obligatoria (+30). Tramo 8 corresponde a gran empresa con probables múltiples contrapartes/proveedores (+20). Sector requiere KYB continuo para inversiones y relaciones comerciales. Ausencia de señal urgente y posible uso de herramientas existentes reduce score final.,67,financiero,Riesgo de incumplimiento regulatorio en verificación de contrapartes y detección de riesgos de lavado de activos en operaciones con fondos de inversión,"NEWCO SPA es una entidad de inversión regulada por CMF con obligación legal de verificar contrapartes (regulacion: 40). Su giro como fondo/sociedad de inversión la clasifica en segmento Financiero. Sin información disponible sobre cantidad de proveedores, se asigna tramo medio de 50-200 (proveedores: 12). No hay señales de licitación, multa, M&A o regulación nueva reportadas (señal: 0). Sin evidencia de uso de herramientas de compliance específicas (competencia: 0).",45,Financiero,"Gestionar debida diligencia de múltiples fondos, sociedades de inversión y contrapartes financieras para cumplir normativas de la CMF y mitigar riesgos reputacionales y operacionales.","El giro 'FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES' clasifica claramente a NEWCO como empresa del vertical Financiero. Por su naturaleza, está regulada por la CMF (15 puntos). Como entidad financiera que gestiona fondos e inversiones, probablemente mantiene entre 50-200 proveedores (servicios de custodia, auditoría, asesoría legal, tecnología, etc.), asignando 15 puntos. No hay señal externa reportada (0 puntos). El tamaño mediano y giro financiero indica necesidad de KYB robusta para proveedores y contrapartes.",12,0,0,15,15
SERVICIOS INDUSTRIALES HEVIA & MORAGA LIMITADA,77293787-3,Random,None,0,0,0,15,manufactura,Verificación de proveedores en servicios de limpieza industrial con bajo volumen operacional,"Empresa pequeña (Tramo 1 SII) sin regulación compliance obligatoria. Giro de servicios de limpieza industrial típicamente opera con bajo volumen de proveedores (<50). Región VI sin señales de urgencia. Sin información de competidores actuales asumimos (+0). Score bajo por falta de drivers clave: no hay obligación regulatoria, tamaño reducido y presumible bajo volumen de contrapartes.",6,otro,Gestión de riesgos en la cadena de suministro de servicios de limpieza industrial y evaluación de proveedores/subcontratistas en cumplimiento normativo.,"Empresa clasificada en segmento 'Otro' por ser prestadora de servicios de limpieza industrial (no regulada por SISS/SEC/Sernageomin/CMF). Regulación: 0 pts (no regulada por autoridades supervisoras). Proveedores: +5 pts (asumiendo <50 proveedores, típico en empresas de servicios de limpieza de tramo 1 SII). Señal: 0 pts (sin información de licitación, multas, M&A o nueva regulación). Competencia: 0 pts (información desconocida sobre herramientas de compliance utilizadas).",0,Otro,"Gestión y evaluación de proveedores de insumos de limpieza e implementos industriales, asegurando cumplimiento de estándares de calidad y seguridad laboral.","La empresa es un proveedor de servicios de limpieza industrial, no encaja en verticales específicos (Financiero, Mining/Energía, Utilities, Manufactura Retail). No está regulada por CMF, Sernageomin, SEC ni CNE. Con 0 trabajadores reportados y siendo microempresa (Tramo SII 1), probablemente maneja <50 proveedores (0 puntos). Sin señal externa registrada (N/A). Como empresa de servicios pequeña, su potencial ICP es bajo para Plutto, pero podría beneficiarse de compliance básico en sus relaciones comerciales.",0,0,0,0,0
MIK PROPIEDADES SPA,77660045-8,Random,None,0,0,0,22,manufactura,Verificación de contrapartes en transacciones inmobiliarias y corretaje,"Empresa pequeña (tramo 4) en corretaje inmobiliario sin regulación compliance obligatoria específica (CMF, SEC, Sernageomin, SISS no aplican). Sector bajo riesgo regulatorio. Probablemente <50 proveedores. Sin señales de eventos urgentes. Bajo fit para solución especializada en KYB/compliance.",8,otro,"Validación de identidad y antecedentes de compradores/vendedores en transacciones inmobiliarias para mitigar riesgos de fraude, lavado de activos y operaciones con personas PEP o sancionadas","MIK Propiedades es una corretería inmobiliaria (giro: corretajes al por mayor), no clasificada en segmentos regulados (Financiero/Mining/Utilities/Manufactura). Se asigna a 'Otro'. Regulación: 0 puntos (no regulada por SISS/SEC). Proveedores: +5 puntos (micro empresa con típicamente <50 proveedores en este tipo de negocio). Señal: 0 puntos (sin indicadores de licitación, multa, M&A o regulación nueva). Competencia: 0 puntos (información desconocida sobre uso de herramientas de compliance). El pain point principal es la debida diligencia en transacciones inmobiliarias, donde Plutto puede detectar riesgos en contrapartes.",35,Financiero,"Gestión del riesgo en la evaluación de contrapartes (clientes, proveedores, colaboradores) en operaciones de corretaje e intermediación de propiedades.","El giro 'OTROS TIPOS DE CORRETAJES O REMATES AL POR MAYOR' indica actividades de intermediación/corretaje. Aunque es corretaje de propiedades (no financiero tradicional), este sector tiene características de intermediación que lo clasifican en Financiero. La empresa probablemente está regulada por CMF ya que realiza actividades de corretaje. Con 0 trabajadores reportados y giro de corretaje, se estima manejo de 50-200 proveedores (arrendadores, compradores, agentes de apoyo). Sin señal externa reportada (N/A). El pain_point es evaluación de riesgo en contrapartes, que es crítico en corretaje donde la debida diligencia es fundamental.",2,0,0,15,15
SMARTFOX TECHNOLOGY SPA,77150076-5,Random,None,0,0,0,5,manufactura,Verificación manual de proveedores en e-commerce sin marcos regulatorios obligatorios,"Empresa de retail online sin obligaciones de compliance regulatorio (no financiero, energía, minería ni utilities). Tramo 1 de ventas indica pequeña empresa con bajo volumen operacional. Giro comercial típico sin presión regulatoria ni eventos desencadenantes. Bajo potencial como cliente ICP de Plutto por ausencia de necesidad compliance obligatoria.",6,manufactura,"Verificación de proveedores y clientes en operaciones de e-commerce y venta remota, mitigación de fraude y riesgos de contrapartes en transacciones digitales","SMARTFOX es clasificada en segmento Manufactura/Retail por su giro de 'venta al por menor por correo, internet y teléfono'. Regulación: 0 puntos (no regulada específicamente en este segmento). Proveedores: 5 puntos (asumiendo <50 proveedores dirección dado tamaño tramo SII 1 y modelo de negocio e-commerce). Señal: 0 puntos (sin información de licitaciones, multas, M&A o nueva regulación). Competencia: 0 puntos (sin información sobre herramientas de compliance utilizadas, asumido desconocido).",20,Manufactura Retail,Gestión y debida diligencia de múltiples proveedores de tecnología y logística para operaciones de e-commerce y venta remota,"La empresa SMARTFOX TECHNOLOGY SPA tiene giro en venta al por menor por internet, correo y teléfono (e-commerce y retail digital). Se clasifica en Manufactura Retail por su naturaleza de comercio electrónico. No está regulada por CMF, Sernageomin, SEC ni CNE (0 puntos regulación). Siendo un retailer digital, probablemente maneja entre 50-200 proveedores (tecnología, logística, proveedores de productos) dando 15 puntos. Sin señal externa registrada (0 puntos). El pain point relevante es la evaluación de riesgos de proveedores tecnológicos y de logística, que es crítico en operaciones de e-commerce.",0,0,0,0,15
F & M PAISAJISMO SPA,77469698-9,Random,None,0,0,0,5,manufactura,Verificación básica de proveedores en servicios de jardinería y paisajismo.,"Empresa pequeña (Tramo 2) sin obligación regulatoria de compliance. Industria de servicios de paisajismo no requiere KYB obligatorio. Bajo volumen de proveedores esperado (<50). Sin señales de evento que genere urgencia. No es vertical prioritario para Plutto (no financiero, energía, minería ni utilities). Fit muy bajo con ICP de compliance B2B.",8,otro,Gestión de riesgos en la selección y evaluación de subcontratistas y proveedores de servicios especializados en paisajismo y jardinería,"F & M Paisajismo es una microempresa de servicios (giro: paisajismo y jardinería) que no pertenece a sectores regulados como financiero, mining, energía o utilities. Se clasifica en 'Otro'. Regulación: 0 puntos (no regulada por SISS/SEC). Proveedores: 5 puntos (como microempresa, probablemente tiene menos de 50 proveedores/colaboradores). Señal: 0 puntos (sin información de licitaciones, multas, M&A o nueva regulación). Competencia: 0 puntos (desconocido si utiliza herramientas de compliance).",2,Otro,"Gestión y evaluación de proveedores de insumos (plantas, materiales de jardinería, equipos) y subcontratistas en proyectos de paisajismo","F & M PAISAJISMO SPA es una microempresa (0 trabajadores registrados) del sector servicios de paisajismo y jardinería, sin regulación sectorial específica (no aplica CMF, Sernageomin, SEC ni CNE). Con 0 trabajadores reportados, probablemente maneja <50 proveedores, asignando 0 puntos. Sin señal externa reportada. Se clasifica en 'Otro' ya que no corresponde a los verticales principales. El pain point se enfoca en la necesidad de evaluar confiabilidad de proveedores y contratistas, típico de empresas de servicios que requieren due diligence en su cadena de suministro.",2,0,0,0,0
JOYERIA Y RELOJERIA NEUCHATEL SPA,76809991-K,Random,None,0,0,0,12,manufactura,Verificación manual de proveedores de joyería y bisutería,"Empresa pequeña (tramo 4) sin regulación compliance obligatoria. Sector retail especializado con bajo volumen de proveedores típicamente. Sin señales de urgencia identificadas. No hay obligaciones CMF, SEC, CNE, Sernageomin o SISS. Score bajo refleja bajo fit con ICP de Plutto orientado a sectores regulados.",8,manufactura,"Verificación de proveedores de materias primas (oro, plata, piedras preciosas) y evaluación de riesgos de fraude en la cadena de suministro de joyería","Segmento Manufactura/Retail: La empresa es joyería especializada (retail de artículos de joyería). Regulación: 0 puntos (no regulada por organismos específicos en manufactura). Proveedores: 5 puntos (asumimos <50 proveedores típico en micro empresas de joyería). Señal: 0 puntos (no hay información de licitación, multa, M&A o nueva regulación). Competencia: 0 puntos (no se indica uso de herramientas de compliance como Regcheq/LexisNexis/KPMG).",7,Manufactura Retail,"Gestión de proveedores de joyería, bisutería y relojería con verificación de autenticidad y cumplimiento normativo en importaciones","La empresa se clasifica en Manufactura Retail porque es una joyería especializada en venta al por menor. No está regulada por CMF, Sernageomin, SEC o CNE (0 puntos regulación). Como micro empresa con 0 trabajadores, probablemente maneja menos de 50 proveedores, típicamente entre 5-20 (0 puntos proveedores). Sin señal externa reportada (0 puntos señal). El pain point se enfoca en la debida diligencia de proveedores, crítica en joyería por riesgos de falsificación y procedencia de materiales.",2,0,0,0,0
FARMACIAS ALEX E HIJOS SPA,76279713-5,Random,None,0,0,9,22,manufactura,Verificación de proveedores farmacéuticos y cumplimiento regulatorio sanitario,"Empresa pequeña (tramo 7) sin regulación compliance obligatoria específica como CMF/SEC/CNE. Sector retail farmacéutico tiene requisitos sanitarios pero no KYB intensivo. Volumen de proveedores estimado bajo-medio (~50-100). Sin señales de urgencia (M&A, multas, licitaciones). Baja propensión al uso de soluciones KYB complejas. Score bajo refleja mala alineación con ICP de Plutto.",33,manufactura,Gestión de proveedores farmacéuticos y cumplimiento normativo en cadena de suministro de medicamentos,"Clasificada en Manufactura/Retail por ser venta al por menor de productos farmacéuticos. Regulación: +20 por estar regulada por MINSAL/ISP en materia de productos farmacéuticos. Proveedores: +5 (pequeña empresa típicamente con <50 proveedores directos). Señal: 0 (sin información de licitaciones, multas o M&A). Competencia: 0 (desconocido si utiliza herramientas especializadas de compliance).",40,Manufactura Retail,Gestión de proveedores farmacéuticos y cumplimiento normativo de medicamentos; asegurar que proveedores cumplan con regulaciones sanitarias y evitar riesgos de distribución de productos falsificados o no autorizados.,"La empresa es una farmacia minorista especializada en venta de productos farmacéuticos. Se clasifica como Manufactura Retail por su operación de retail con manejo de productos especializados. Regulación: recibe 15 puntos porque el sector farmacéutico está regulado por autoridades sanitarias (ISP, ANAMED, Minsal) que supervisan medicamentos y proveedores. Proveedores: recibe 15 puntos (50-200) estimando que una farmacia de 9 trabajadores probablemente maneja relaciones con múltiples proveedores farmacéuticos, distribuidoras y laboratorios. Señal: 0 puntos porque no hay señal externa reportada (N/A).",5,0,0,15,15
